Country Name,Last,Previous,Reference,Unit
Algeria,145,171,20-Dec,USD Billion
Australia,1331,1397,20-Dec,USD Billion
Austria,431,445,20-Dec,USD Billion
"Bahamas, The",11.25,13.58,20-Dec,USD Billion
Bangladesh,324,303,20-Dec,USD Billion
Belgium,515,533,20-Dec,USD Billion
Belize,1.76,1.98,20-Dec,USD Billion
Benin,15.65,14.39,20-Dec,USD Billion
Bermuda,7.484,,,
Bolivia,36.69,40.9,20-Dec,USD Billion
Botswana,15.78,18.36,20-Dec,USD Billion
Burkina Faso,17.37,15.99,20-Dec,USD Billion
Burundi,3.26,3.01,20-Dec,USD Billion
Cameroon,39.8,39,20-Dec,USD Billion
Canada,1644,1742,20-Dec,USD Billion
Central African Republic,2.3,2.22,20-Dec,USD Billion
Chad,10.09,11.31,20-Dec,USD Billion
Chile,253,279,20-Dec,USD Billion
China,14723,14280,20-Dec,USD Billion
Colombia,271,323,20-Dec,USD Billion
"Congo, Dem. Rep.",49.87,,,
"Congo, Rep.",10.88,12.69,20-Dec,USD Billion
Costa Rica,61.52,63.95,20-Dec,USD Billion
Cote d'Ivoire,61.35,,,
Dominican Republic,78.84,88.94,20-Dec,USD Billion
Ecuador,98.81,108,20-Dec,USD Billion
Eswatini,3.962,,,
Fiji,4.38,5.5,20-Dec,USD Billion
Finland,270,269,20-Dec,USD Billion
France,2630,2729,20-Dec,USD Billion
Gabon,15.59,16.87,20-Dec,USD Billion
Ghana,72.35,67.23,20-Dec,USD Billion
Greece,189,205,20-Dec,USD Billion
Guatemala,77.6,77.02,20-Dec,USD Billion
Guyana,5.47,5.17,20-Dec,USD Billion
Haiti,13.42,14.33,20-Dec,USD Billion
Honduras,23.83,25.09,20-Dec,USD Billion
"Hong Kong SAR, China",347,366,20-Dec,USD Billion
Iceland,21.71,24.84,20-Dec,USD Billion
India,2623,2870,20-Dec,USD Billion
Ireland,426,399,20-Dec,USD Billion
Italy,1886,2005,20-Dec,USD Billion
Jamaica,13.81,15.83,20-Dec,USD Billion
Japan,4975,5149,20-Dec,USD Billion
Kenya,98.84,95.5,20-Dec,USD Billion
"Korea, Rep.",1631,138,19-Dec,USD Billion
Lesotho,1.84,2.37,20-Dec,USD Billion
Luxembourg,73.26,71.1,20-Dec,USD Billion
Madagascar,13.72,14.19,20-Dec,USD Billion
Malawi,11.96,10.86,20-Dec,USD Billion
Malaysia,337,365,20-Dec,USD Billion
Mexico,1076,1269,20-Dec,USD Billion
Morocco,113,120,20-Dec,USD Billion
Nepal,33.66,34.19,20-Dec,USD Billion
Netherlands,914,910,20-Dec,USD Billion
Nicaragua,12.62,12.61,20-Dec,USD Billion
Niger,13.68,12.91,20-Dec,USD Billion
Nigeria,432,448,20-Dec,USD Billion
Norway,363,406,20-Dec,USD Billion
Pakistan,264,278,20-Dec,USD Billion
Panama,52.94,66.79,20-Dec,USD Billion
Papua New Guinea,23.59,24.83,20-Dec,USD Billion
Peru,202,228,20-Dec,USD Billion
Philippines,361,377,20-Dec,USD Billion
Portugal,231,240,20-Dec,USD Billion
Puerto Rico,103,105,20-Dec,USD Billion
Rwanda,10.33,10.36,20-Dec,USD Billion
Senegal,24.91,23.31,20-Dec,USD Billion
Seychelles,1.12,1.58,20-Dec,USD Billion
Sierra Leone,3.87,4.12,20-Dec,USD Billion
Singapore,340,374,20-Dec,USD Billion
South Africa,302,351,20-Dec,USD Billion
Spain,1281,1393,20-Dec,USD Billion
Sri Lanka,80.71,83.98,20-Dec,USD Billion
St Kitts and Nevis,0.93,1.04,20-Dec,USD Billion
St. Vincent And The Grenadines,0.81,0.82,20-Dec,USD Billion
Sudan,26.11,32.25,20-Dec,USD Billion
Suriname,3.81,4.22,20-Dec,USD Billion
Sweden,541,534,20-Dec,USD Billion
Thailand,502,544,20-Dec,USD Billion
Togo,7.57,7.22,20-Dec,USD Billion
Trinidad and Tobago,21.53,23.21,20-Dec,USD Billion
Turkey,720,761,20-Dec,USD Billion
Uganda,37.37,35.17,20-Dec,USD Billion
United Kingdom,2708,2831,20-Dec,USD Billion
United States,20937,21433,20-Dec,USD Billion
Uruguay,53.63,61.23,20-Dec,USD Billion
Zambia,19.32,23.31,20-Dec,USD Billion
Zimbabwe,16.77,16.93,20-Dec,USD Billion
